mode,task_id,episode,initial_state_id,environment_step,selected_horizon,execution_horizon,wall_ms,policy_ms,server_ms,predictor_ms,batched_teacher_ms,harp_residual_ms,harp_gripper_event_ms,selector_json
ordered_transformer,0,336,336,10,25,25,124.82296209782362,109.15197478607297,121.41014914959669,6.039031315594912,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.15958143770694733,0.1368253082036972,0.16201373934745789,0.22942142188549042,0.3121580183506012],""ordered_continuation_logits"":[1.6613454818725586,1.6374952793121338,1.2068085670471191,0.3079489767551422],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":10,""episode_progress"":0.01,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,35,15,15,126.70983793213964,113.81297884508967,124.66041604056954,6.963466294109821,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.14309433102607727,0.21593886613845825,0.31209614872932434,0.21546821296215057,0.11340229958295822],""ordered_continuation_logits"":[1.7898235321044922,1.087982177734375,0.05235276371240616,-0.6418716311454773],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.035,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,50,25,25,122.94920394197106,109.86223723739386,120.69228105247021,5.48409903421998,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.12494148313999176,0.12343191355466843,0.21385326981544495,0.2185371369123459,0.31923624873161316],""ordered_continuation_logits"":[1.946445345878601,1.8065499067306519,0.9221470355987549,0.37897560000419617],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.05,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,75,15,15,117.80294170603156,105.93043779954314,115.73643516749144,6.027153693139553,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.26986077427864075,0.2791922390460968,0.2891837954521179,0.10397855937480927,0.05778463929891586],""ordered_continuation_logits"":[0.9953291416168213,0.47944918274879456,-0.5809286236763,-0.5874616503715515],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.075,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,90,25,25,120.49639038741589,108.02464513108134,118.61570877954364,6.248858291655779,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.16595984995365143,0.051487457007169724,0.13716107606887817,0.30433303117752075,0.34105855226516724],""ordered_continuation_logits"":[1.6145356893539429,2.7212231159210205,1.548701286315918,0.11393150687217712],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.09,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,115,20,20,123.63754399120808,110.50158692523837,121.51795299723744,6.321185734122992,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.14876273274421692,0.1333923637866974,0.12203150242567062,0.4190632104873657,0.17675013840198517],""ordered_continuation_logits"":[1.7443382740020752,1.6829584836959839,1.5856481790542603,-0.8632846474647522],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.115,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,135,20,20,123.28661093488336,110.3028068318963,121.26364232972264,6.227754056453705,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.13271842896938324,0.17200146615505219,0.1580156534910202,0.312300443649292,0.22496405243873596],""ordered_continuation_logits"":[1.877134084701538,1.396811842918396,1.2237963676452637,-0.32802507281303406],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.135,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,155,20,20,121.73660285770893,109.48612727224827,120.00645976513624,6.208499893546104,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.13098135590553284,0.15373143553733826,0.20085804164409637,0.2928812503814697,0.2215479165315628],""ordered_continuation_logits"":[1.8923096656799316,1.537476897239685,0.9404594898223877,-0.27912840247154236],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.155,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,175,20,20,123.66236513480544,110.67969119176269,121.69908406212926,6.355635821819305,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.10103268921375275,0.18304114043712616,0.23018454015254974,0.2889864146709442,0.19675524532794952],""ordered_continuation_logits"":[2.185802459716797,1.3638660907745361,0.7467955350875854,-0.38441911339759827],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.175,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,195,20,20,124.10408305004239,111.16317519918084,122.22879007458687,6.378157064318657,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.1378566473722458,0.15840716660022736,0.19161798059940338,0.25921395421028137,0.2529042661190033],""ordered_continuation_logits"":[1.8332072496414185,1.4912347793579102,0.9830517768859863,-0.02464285120368004],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.195,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,215,20,20,120.6230758689344,108.69882395491004,118.9494919963181,6.313520949333906,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.20779255032539368,0.1775256097316742,0.1812814176082611,0.2209595888853073,0.2124408334493637],""ordered_continuation_logits"":[1.3382830619812012,1.241990089416504,0.871611475944519,-0.03931647166609764],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.215,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,235,20,20,123.11032833531499,110.2973478846252,121.12818518653512,6.16342993453145,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.1133381575345993,0.1654852032661438,0.10765548050403595,0.35080796480178833,0.26271316409111023],""ordered_continuation_logits"":[2.0570876598358154,1.472002387046814,1.7402786016464233,-0.28917616605758667],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.235,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,255,20,20,119.78785321116447,107.96989593654871,117.65714222565293,6.263700779527426,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.12293677031993866,0.135563924908638,0.1375904530286789,0.32805588841438293,0.2758529484272003],""ordered_continuation_logits"":[1.9649089574813843,1.6992309093475342,1.4791417121887207,-0.1733158826828003],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.255,""budget_fraction"":0.5}"
ordered_feedback_current_once,0,336,336,10,25,25,124.71669726073742,111.54134618118405,121.5975321829319,6.271930877119303,nan,nan,nan,"{""raw_horizon"":25,""selector_policy"":""ordered_feedback_current_once"",""feedback_variant"":""current"",""feedback_history_valid"":false,""ordered_continuation_logits"":[1.6613454818725586,1.6374952793121338,1.2068085670471191,0.3079489767551422],""ordered_horizon_probability"":[0.1595814646838222,0.13682532170790754,0.16201375344851626,0.22942142627124096,0.31215803388851304],""candidate_horizons"":[5,10,15,20,25],""anchor_h"":25,""candidate_h"":25,""candidate_evaluated"":true,""first_disagreement_intervened"":false,""has_intervened_before_decision"":false,""has_intervened"":false,""selector_postprocess_ms"":0.35837385803461075,""budget_limited"":0.0,""anchor_ordered_horizon_probability"":[0.15958143770694733,0.1368253082036972,0.16201373934745789,0.22942142188549042,0.3121580183506012],""anchor_ordered_continuation_logits"":[1.6613454818725586,1.6374952793121338,1.2068085670471191,0.3079489767551422],""anchor_candidate_horizons"":[5,10,15,20,25],""intervention_environment_step"":null,""previous_horizon"":10,""episode_progress"":0.01,""budget_fraction"":0.5}"
ordered_feedback_current_once,0,336,336,35,15,15,121.84872478246689,109.91102317348123,119.92942588403821,6.42924290150404,nan,nan,nan,"{""raw_horizon"":15,""selector_policy"":""ordered_feedback_current_once"",""feedback_variant"":""current"",""feedback_history_valid"":true,""ordered_continuation_logits"":[1.5449542999267578,1.0920178890228271,0.09108254313468933,-0.8889007568359375],""ordered_horizon_probability"":[0.17581621915427761,0.2070666862870861,0.29451610538408324,0.228615473599442,0.093985515575111],""candidate_horizons"":[5,10,15,20,25],""anchor_h"":15,""candidate_h"":15,""candidate_evaluated"":true,""first_disagreement_intervened"":false,""has_intervened_before_decision"":false,""has_intervened"":false,""selector_postprocess_ms"":0.2575959078967571,""budget_limited"":0.0,""anchor_ordered_horizon_probability"":[0.14309433102607727,0.21593886613845825,0.31209614872932434,0.21546821296215057,0.11340229958295822],""anchor_ordered_continuation_logits"":[1.7898235321044922,1.087982177734375,0.05235276371240616,-0.6418716311454773],""anchor_candidate_horizons"":[5,10,15,20,25],""intervention_environment_step"":null,""previous_horizon"":25,""episode_progress"":0.035,""budget_fraction"":0.5}"
